,p_title,price,stock,url,company,p_type,img_url
0,Mighty Grip Olympic Weight Plates 2.0,$9.99 – $799.99,Out of stock,https://www.bellsofsteel.com/product/cast-iron-weight-plate/,Bells Of Steel,Plates,https://www.bellsofsteel.com/wp-content/uploads/2019/08/Bijan-Karkhairan-2019-08-29-13-01-36-245-Set.jpeg
1,Bumper Plates – Dead Bounce – lb,"$9.99 – $1,049.99",Out of stock,https://www.bellsofsteel.com/product/bumper-plates-lb/,Bells Of Steel,Plates,https://www.bellsofsteel.com/wp-content/uploads/2016/02/bos-bumper-plates-dead-bounce-01-min.jpg
2,Weightlifting Chains,$89.99 – $399.99,Out of stock,https://www.bellsofsteel.com/product/weightlifting-chains/,Bells Of Steel,Plates,https://www.bellsofsteel.com/wp-content/uploads/2020/07/IMG_0092.jpg
3,Bumper Plates – Colour Competition – KG,"$169.99 – $2,299.99",Out of stock,https://www.bellsofsteel.com/product/competition-bumper-plates/,Bells Of Steel,Plates,https://www.bellsofsteel.com/wp-content/uploads/2016/12/all-color-into-one-image.jpg
4,Calibrated Powerlifting Plate Sets by StrongArm,"$899.99 – $2,399.99",Out of stock,https://www.bellsofsteel.com/product/strongarm-plate-sets/,Bells Of Steel,Plates,https://www.bellsofsteel.com/wp-content/uploads/2019/03/bos-calibrated-powerlifting-plates-sets-min.jpg
