,p_title,price,stock,url,company,p_type,img_url
0,REP Basic Barbell,$89.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-basic-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/b/a/basic_bar.jpg
1,REP Excalibur 20 kg - Stainless Steel,$329.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/excalibur-20-kg-stainless-steel,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web-excalibur_2_3.jpg
2,REP BB-TECH 15 lb Aluminum Technique Bar,$99.00,In stock,https://www.repfitness.com/bars-plates/olympic-bars/15lb-technique-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/t/e/technique.jpg
3,REP Sabre Bar,$149.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-sabre-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/s/a/sabre_1_3.jpg
4,REP Black Sabre Barbell,$151.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-black-sabre-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/s/a/sabre_1_3_1.jpg
5,REP Gladiator WL Bearing Bar,$269.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-gladiator-olympic-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/r/e/rep_gladiator_bb-5000_main.jpg
6,REP 28.5mm Gladiator MX Barbell,$269.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-gladiator-mx-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web_nw-new_gladiator_mx_grey.jpg
7,REP Stainless Steel Gladiator WL Barbell,$379.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-stainless-steel-gladiator-olympic-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/r/e/rep_gladiator_ss_barbell-text.jpg
8,REP Stainless Steel Power Bar v2,$379.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-stainless-steel-power-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/p/o/power_bar_1_.jpg
9,REP Deep Knurl Power Bar EX,$379.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-deep-knurl-power-bar-ex,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web_nw-rep_powerbar_sku-bb-5150_main_2.jpg
10,REP Excalibur Bar,$299.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/excalibur-olympic-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web-excalibur-2.jpg
11,REP EZ Curl Barbell,$229.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-ez-curl-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/e/z/ez-curl_bars_standard_main_1_.jpg
12,REP Rackable EZ Curl Barbell,$259.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-rackable-ez-curl-barbell,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/e/z/ez-curl_bars_rackable_main.jpg
13,REP Trap Bar,$125.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-trap-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/t/r/trap_bar.jpg
14,REP Farmer's Carry Handles,$99.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-farmer-s-walk-handles,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/f/a/farmers_carry_handles.jpg
15,REP Axle Bar,$48.00,Out of stock,https://www.repfitness.com/bars-plates/olympic-bars/rep-axle-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web_nw-axle_bar_clearance.jpg
16,REP Sabre Bar,$149.00,Out of stock,https://www.repfitness.com/rep-sabre-bar,Repfitness,Barbells,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/s/a/sabre_1_3.jpg
