,p_title,price,stock,url,company,p_type,img_url
0,35 LB Single Economy Black Bumper Plate,$64.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/35-lb-single-economy-black-bumper-plate/430104.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw2fab4824/images/hi-res/Fitness/430104.2_01.jpg?sw=800&sh=800
1,20 LB Ruck Weight,$39.99,In Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/20-lb-ruck-weight/430158.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw5bbc33c7/images/hi-res/Fitness/430158_01.jpg?sw=800&sh=800
2,Pair of Wagon Wheel Pulling Blocks,$223.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/pair-of-wagon-wheel-pulling-blocks/430119.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw2136f7a1/images/hi-res/Fitness/430119_01.jpg?sw=800&sh=800
3,2.5 KG Technique Weight Plates – Pair,$122.99,In Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/2.5-kg-technique-weight-plates-%E2%80%93-pair/430125.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw0dedabcf/images/hi-res/Fitness/430120.2_01.jpg?sw=800&sh=800
4,45 LB Single Color Urethane Bumper Plate,$148.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/45-lb-single-color-urethane-bumper-plate/430224.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw21e9af34/images/hi-res/Fitness/430224.2_01.jpg?sw=800&sh=800
5,25 LB Pair Cast Iron Olympic Plates,$74.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/cast-iron-plates/25-lb-pair-cast-iron-olympic-plates/430211.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw220669d8/images/hi-res/Fitness/430211_01.jpg?sw=800&sh=800
6,45 LB Single Economy Black Bumper Plate,$79.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/45-lb-single-economy-black-bumper-plate/430105.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw71df3dc6/images/hi-res/Fitness/430105.2_01.jpg?sw=800&sh=800
7,25 LB Pair Economy Black Bumper Plates,$84.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/25-lb-pair-economy-black-bumper-plates/430103.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw26017af5/images/hi-res/Fitness/430103.2_01.jpg?sw=800&sh=800
8,15 LB Pair Economy Black Bumper Plates,$54.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/15-lb-pair-economy-black-bumper-plates/430102.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw7ecb0c0f/images/hi-res/Fitness/430102.2_01.jpg?sw=800&sh=800
9,10 LB Pair Economy Black Bumper Plates,$44.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/10-lb-pair-economy-black-bumper-plates/430101.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwbfaab66a/images/hi-res/Fitness/430101.2_01.jpg?sw=800&sh=800
