,p_title,price,stock,url,company,p_type,img_url
0,Rogue TB-2 Trap Bar,$375.00,In Stock,https://www.roguefitness.com/rogue-tb-2-trap-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/r/o/rogue-tb2-updated-000-th.jpg
1,The Rogue Axle - Powdercoated,$125.00,In Stock,https://www.roguefitness.com/the-rogue-axle,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/a/x/axle-bar-th_1_2.jpg
2,Rogue TB-1 Trap Bar 2.0,$295.00,In Stock,https://www.roguefitness.com/rogue-tb-1-trap-bar-2-0,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/r/o/rogue-tb-updated-006-th.jpg
3,Rogue MG-3 Multi Grip Bar,$275.00,In Stock,https://www.roguefitness.com/rogue-mg-3-multi-grip-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/m/u/multi-gip-bar-th1.jpg
4,Mutt Bars,$106.50,In Stock,https://www.roguefitness.com/mutt-bars,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/m/u/mutt-bar-th2.jpg
5,Rogue MG-2 Multi Grip Bars,$245.00,In Stock,https://www.roguefitness.com/rogue-mg-2-multi-grip-bars,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/r/o/rogue-multi-grip-bars-th.jpg
6,Rogue Stubby Axle,$95.00,In Stock,https://www.roguefitness.com/rogue-stubby-axle,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/s/t/stubby-axle-th_2_1.jpg
7,Rogue Barbell Cleaning Kit,$9.50,In Stock,https://www.roguefitness.com/rogue-barbell-cleaning-kit,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/b/a/bar-cleaning-kit-th.jpg
8,Rogue War Bar,$13.25,In Stock,https://www.roguefitness.com/rogue-war-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/w/a/war-bar-th_4.jpg
9,Rogue MG-1 Multi Grip Bar 2.0,$275.00,In Stock,https://www.roguefitness.com/rogue-mg-1-multi-grip-bar-2-0,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/r/o/rogue-multi-handle-bars-th.jpg
10,"LB-1 Rogue 10"" Log Bar",$465.00,In Stock,https://www.roguefitness.com/log-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/1/0/10inch-log-bar-th1.jpg
11,Bandbell E-Maxx Bar,$319.00,In Stock,https://www.roguefitness.com/bandbell-e-maxx-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/b/a/bandbell-e-maxx-bar-th_2.jpg
12,Rogue Barbell Carry Bag,$45.00,In Stock,https://www.roguefitness.com/rogue-barbell-carry-bag,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/b/a/barbell-bag-th.jpg
13,LB-3 Rogue 12” Log Bar,$595.00,In Stock,https://www.roguefitness.com/lb-3-rogue-12-log-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/l/o/log-bar-th_5.jpg
14,BandBell Bars,$289.00,In Stock,https://www.roguefitness.com/bandbell-bars,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/b/a/bamboo-earthquake-bar-th.jpg
15,SB-1 - Rogue Safety Squat Bar,$395.00,In Stock,https://www.roguefitness.com/sb-1-rogue-safety-squat-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/s/a/safety-squat-bar-th1.jpg
16,CB-1 Rogue Camber Bar,$295.00,In Stock,https://www.roguefitness.com/cb-1-rogue-camber-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/c/b/cb-1-rogue-camber-bar-web-th1.jpg
17,Proloc™ Camber Bar Attachment,$132.00,In Stock,https://www.roguefitness.com/proloc-camber-bar-attachment,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/p/r/proloc-camber-th.jpg
18,Branch & Beam,$170.00,In Stock,https://www.roguefitness.com/branch-beam-stud,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/b/e/beam-th-1.jpg
19,"LB-2 Rogue 8"" Log Bar",$345.00,In Stock,https://www.roguefitness.com/lb-2-rogue-8-log-bar,Rogue Fitness,Barbells,https://www.roguefitness.com/media/rogue/sli/product/8/i/8inch-bar-th.jpg
