,p_title,price,stock,url,company,p_type,img_url
0,REP kg Change Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-kg-change-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/c/h/change_plates_all_offwhite_main.jpg
1,REP Iron Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-iron-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web-iron_background.jpg
2,REP Urethane Coated Olympic Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-urethane-coated-olympic-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web-uplatesgroup.jpg
3,Hi-Temp Bumper Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/hi-temp-bumper-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web-hitemp_all.jpg
4,REP LB Change Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-lb-change-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/c/h/change_plates_header_main.jpg
5,REP Urethane Coated Equalizers,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-urethane-coated-equalizers,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web_nw-urethane-coated-equalizers-main.jpg
6,REP Equalizer Iron Olympic Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-equalizer-iron-olympic-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/i/wide-group-shot-rebrand.jpg
7,REP V2 Rubber Coated Olympic Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-rubber-coated-olympic-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/w/e/web-wp-4100_all.jpg
8,5 lb Extra-Firm Bumper Plates Pair,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/5-lb-technique-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/p/a/pair.jpg
9,REP Black Bumper Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-black-bumper-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/b/u/bumpers-stacked.jpg
10,REP Color Bumper Plates,Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-color-bumper-plates,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/c/p/cp_970x600.jpg
11,REP Competition Bumper Plates (LB),Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-competition-bumper-plates-lb,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/l/b/lbcbp_970x600.jpg
12,REP Competition Bumper Plates (KG),Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/rep-competition-bumper-plates-kg,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/k/g/kgcbp_970x600.jpg
13,Fractional Plate Set (Lb),Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/fractional-change-plate-set-lb,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/f/r/fractional_lb_plates_header_main.jpg
14,Fractional Plate Set (Kg),Varies,Out of Stock,https://www.repfitness.com/bars-plates/olympic-plates/fractional-change-plate-set-kg,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/f/r/fractional_kg_plates_header_main.jpg
15,REP Basic Barbell,Varies,Out of Stock,https://www.repfitness.com/rep-basic-barbell,Repfitness,Plates,https://www.repfitness.com/media/catalog/product/cache/1/image/750x/17f82f742ffe127f42dca9de82fb58b1/b/a/basic_bar.jpg
