,p_title,price,stock,url,company,p_type,img_url
0,Olympic Power Bar – 86-in. Chrome,$149.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/olympic-power-bar-%E2%80%93-86-in.-chrome/430087.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwa193f4f0/images/hi-res/Fitness/430087_01.jpg?sw=800&sh=800
1,Blues City Olympic Barbell | Made In USA | Bronze Cerakote,$339.99,In Stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/blues-city-olympic-barbell-%7C-made-in-usa-%7C-bronze-cerakote/400805.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwa2285a63/images/hi-res/Fitness/400805_01.jpg?sw=800&sh=800
2,Blues City Power Bar | Made In USA | Black Oxide,$299.99,In Stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/blues-city-power-bar-%7C-made-in-usa-%7C-black-oxide/400806.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw7a0c9a82/images/hi-res/Fitness/400806_01.jpg?sw=800&sh=800
3,Atlas Bar – Men's 20KG Barbell,$224.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/atlas-bar-%E2%80%93-men%27s-20kg-barbell/430090.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwf92a6f29/images/hi-res/Fitness/430090_01.jpg?sw=800&sh=800
4,Economy Olympic Bar – 84-in,$109.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/economy-olympic-bar-%E2%80%93-84-in/430085.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw83ac105e/images/hi-res/Fitness/430085_01.jpg?sw=800&sh=800
5,60-in Olympic Bar – Chrome,$69.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/60-in-olympic-bar-%E2%80%93-chrome/430001.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw26956607/images/hi-res/Fitness/430001.2_01.jpg?sw=800&sh=800
6,Olympic Technique Bar – 72-in. Aluminum,$94.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/olympic-technique-bar-%E2%80%93-72-in.-aluminum/429994.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwd723725a/images/hi-res/Fitness/429994_01.jpg?sw=800&sh=800
7,Yukon Bar,$219.99,In Stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/yukon-bar/430074.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwd3142437/images/hi-res/Fitness/430074_01.jpg?sw=800&sh=800
8,Safety Squat Olympic Bar | v2,$229.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/safety-squat-olympic-bar-%7C-v2/430063.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw6c0f3025/images/hi-res/Fitness/430063.2_01.jpg?sw=800&sh=800
9,Rackable Hex Trap Bar – V2,$269.99,In Stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/rackable-hex-trap-bar-%E2%80%93-v2/430077.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw067eb087/images/hi-res/Fitness/430077.2_01.jpg?sw=800&sh=800
10,Multi-Grip Camber Bar,$179.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/multi-grip-camber-bar/430047.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw93f1dcbd/images/hi-res/Fitness/430047_01.jpg?sw=800&sh=800
11,Seal Row Bar | v2,$149.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/seal-row-bar-%7C-v2/430076.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw89512dd9/images/hi-res/Fitness/430076_01.jpg?sw=800&sh=800
12,Rackable Camber Bar,$184.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/rackable-camber-bar/430038.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw0a81a33c/images/hi-res/Fitness/430038_03.jpg?sw=800&sh=800
13,Olympic Hex Weight Bar,$119.99,In Stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/olympic-hex-weight-bar/430009.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw4968a2bb/images/hi-res/Fitness/430009_01.jpg?sw=800&sh=800
14,EZ Load Hex Bar – v2,$164.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/ez-load-hex-bar-%E2%80%93-v2/430072.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw69e12c6c/images/hi-res/Fitness/430072.2_01.jpg?sw=800&sh=800
15,Axle Barbell – 84-in.,$69.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/olympic/axle-barbell-%E2%80%93-84-in./430025.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwfe221d5f/images/hi-res/Fitness/430025_02.jpg?sw=800&sh=800
16,34-in Olympic Triceps Bar – Chrome,$59.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/specialty/34-in-olympic-triceps-bar-%E2%80%93-chrome/430005.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwc56c0d67/images/hi-res/Fitness/430005.2_01.jpg?sw=800&sh=800
17,Rubber Fixed Barbell – EZ Curl – 60 LB,$129.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/fixed-weight/rubber-fixed-barbell-%E2%80%93-ez-curl-%E2%80%93-60-lb/420034.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwe85e4219/images/hi-res/Fitness/420034.2_01.jpg?sw=800&sh=800
18,Rubber Fixed Barbell – EZ Curl – 50 LB,$109.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/fixed-weight/rubber-fixed-barbell-%E2%80%93-ez-curl-%E2%80%93-50-lb/420033.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw33e68829/images/hi-res/Fitness/420033.2_01.jpg?sw=800&sh=800
19,Rubber Fixed Barbell – EZ Curl – 30 LB,$69.99,Out of stock,https://www.titan.fitness/strength/barbells//strength/barbells/fixed-weight/rubber-fixed-barbell-%E2%80%93-ez-curl-%E2%80%93-30-lb/420031.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw82e4eeda/images/hi-res/Fitness/420031.2_01.jpg?sw=800&sh=800
20,Rubber Fixed Barbell – EZ Curl – 40 LB,$89.99,In Stock,https://www.titan.fitness/strength/barbells//strength/barbells/fixed-weight/rubber-fixed-barbell-%E2%80%93-ez-curl-%E2%80%93-40-lb/420032.2.html,Titan Fitness,barbells,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw39dd2e79/images/hi-res/Fitness/420032.2_01.jpg?sw=800&sh=800
