,p_title,price,stock,url,company,p_type,img_url
0,Barenaked Powerlifting Bar 2.0,$299.99,Out of stock,https://www.bellsofsteel.com/product/bos-powerlifting-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2015/06/bos-barenaked-powerlifitng-bar-01-min.jpg
1,Olympic Weightlifting Barbell – The B.o.S.  Bar 2.0,$319.99,Out of stock,https://www.bellsofsteel.com/product/bos-olympic-weightlifting-barbell/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2011/05/bos-olympic-weightlifting-barbell-01-min.jpg
2,Onyx Powerlifting Cerakote Bar,$349.99,Out of stock,https://www.bellsofsteel.com/product/onyx-powerlifting-cerakote-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2020/06/Carolina-Andrew-IMG_9088.jpg
3,Women’s Barbell 2.0 – Olympic Weightlifting,$299.99,Out of stock,https://www.bellsofsteel.com/product/bos-womens-barbell/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2013/10/bos-women-barbell-20-olympic-weightlifting-01-min.jpg
4,Cerakote Utility Barbell – Multipurpose Bar,$249.99,Out of stock,https://www.bellsofsteel.com/product/cerakote-barbell/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2020/04/6.png
5,Utility Barbell – Multipurpose Bar,$249.99,Out of stock,https://www.bellsofsteel.com/product/basic-barbell/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2014/12/bos-utility-barbell-multipurpose-bar-01-min.jpg
6,Loadable Dumbbell – Single – 20.5″,$99.99,Out of stock,https://www.bellsofsteel.com/product/loadable-dumbbells/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2018/04/bos-loadable-dumbbell-single-205-01-min.jpg
7,EZ Curl Bar – 47″,$99.99,Out of stock,https://www.bellsofsteel.com/product/ez-curl-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2018/04/bos-curl-bar-47-01-min.jpg
8,Open Trap Bar / Hex Bar 3.0 – Rotating Sleeves,$249.99,Out of stock,https://www.bellsofsteel.com/product/trap-bar-hex-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2020/01/DSC0673_finished-min.jpg
9,Onyx Powerlifting Cerakote Bar,$349.99,Out of stock,https://www.bellsofsteel.com/product/onyx-powerlifting-cerakote-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2020/06/Carolina-Andrew-IMG_9088.jpg
10,Swiss Bar 2.0 – Rotating Sleeves,$259.99,Out of stock,https://www.bellsofsteel.com/product/swiss-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2019/11/IMG_9772.jpg
11,Buffalo Bar 2.0 By Strongarm,$349.99,Out of stock,https://www.bellsofsteel.com/product/buffalo-bar-2/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2017/10/bos-buffalo-bar-01a.jpg
12,Squat Bar By Strongarm,$349.99,Out of stock,https://www.bellsofsteel.com/product/squat-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2018/12/bos-squat-bar-by-strongarm-01-min.jpg
13,Sumo Deadlift Bar By Strongarm,$349.99,Out of stock,https://www.bellsofsteel.com/product/sumo-deadlift-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2018/12/bos-sumo-deadlift-by-strongarm-01-min.jpg
14,Conventional Deadlift Bar By Strongarm,$349.99,Out of stock,https://www.bellsofsteel.com/product/conventional-deadlift-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2018/12/bos-conventional-deadlift-bar-by-strongarm-01-min.jpg
15,Safety Squat Bar – The SS3,$349.99,Out of stock,https://www.bellsofsteel.com/product/premium-safety-squat-bar/,Bells Of Steel,Barbell,https://www.bellsofsteel.com/wp-content/uploads/2020/06/Carolina-Andrew-IMG_9106.jpg
