,p_title,price,stock,url,company,p_type,img_url
0,160LB Rogue Hi-Temp Bumper Set,$339.15,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
1,190LB Rogue Hi-Temp Bumper Set,$397.50,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
2,210LB Rogue Hi-Temp Bumper Set,$435.00,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
3,230LB Rogue Hi-Temp Bumper Set,$465.00,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
4,260LB Rogue Hi-Temp Bumper Set,$525.00,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
5,350LB Rogue Hi-Temp Bumper Set,$700.00,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
6,500LB Rogue Hi-Temp Bumper Set,$975.00,Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
7,1000LB Rogue Hi-Temp Bumper Set,"$1,875.00",Out of Stock,https://www.roguefitness.com/rogue-hi-temp-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/h/i/hitemps-lg.jpg
8,160LB Rogue US-MIL Spec Bumper Set,$335.00,Out of Stock,https://www.roguefitness.com/rogue-us-mil-sprc-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/u/s/us-mil-spec-crumb-bumpers-h_v3.jpg
9,190LB Rogue US-MIL Spec Bumper Set,$395.00,Out of Stock,https://www.roguefitness.com/rogue-us-mil-sprc-bumper-plates,Rogue Fitness,Plates,https://www.roguefitness.com/media/catalog/product/cache/1/rogue_header_2015/472321edac810f9b2465a359d8cdc0b5/u/s/us-mil-spec-crumb-bumpers-h_v3.jpg
