,p_title,price,stock,url,company,p_type,img_url
0,Black LB Sport Bumper Plates,from $ 53.00,In stock,https://americanbarbell.com/collections/weights/products/american-barbell-economy-black-bumper-plates-1,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/G4_800x.jpg?v=1489792601
1,Color LB Urethane Pro Series Plates,from $ 320.00,In stock,https://americanbarbell.com/collections/weights/products/american-barbell-color-lb-urethane-pro-series-plates,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/D3_800x.jpg?v=1482207782
2,Black KG Sport Bumper Plates,from $ 96.00,In stock,https://americanbarbell.com/collections/weights/products/american-barbell-black-kg-sport-bumper-plates,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_00068_800x.jpg?v=1490213911
3,American Barbell Series IV Urethane Dumbbells,"$ 2,338.00",In stock,https://americanbarbell.com/collections/weights/products/american-barbell-series-iv-commercial-grade-urethane-dumbbells,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/100250image_800x.jpg?v=1544058302
4,American Barbell Series I Commercial Grade Urethane Dumbbells,$ 0.00,In stock,https://americanbarbell.com/collections/weights/products/american-barbell-series-i-urethane-dumbbells,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/1004461image_800x.jpg?v=1578963787
5,Hex Dumbbells,from $ 13.00,In stock,https://americanbarbell.com/collections/weights/products/hex-rubber-dumbbells,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/Dumbbells-1_800x.jpg?v=1565220205
6,American Barbell Rubber Coated Kettlebells (LBS sizing),from $ 23.00,In stock,https://americanbarbell.com/collections/weights/products/rubber-kettlebells,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0019_41f3f56b-6bbd-4bf9-bf8c-db6d9c22d40a_800x.JPG?v=1552341402
7,Competition Steel Kettlebells,$ 253.00,In stock,https://americanbarbell.com/collections/weights/products/competition-steel-kettlebells,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/GOLD-kettlebell-shadow_800x.jpg?v=1565218106
8,Competition Kettlebells,from $ 55.00,In stock,https://americanbarbell.com/collections/weights/products/competition-kettlebells,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0003_97ecf939-bd4a-48b6-974e-c3060db9d366_800x.JPG?v=1576521404
9,American Barbell Rubber Olympic Plates,from $ 13.00,In stock,https://americanbarbell.com/collections/weights/products/rubber-olympic-plates,American Barbell,plates,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_9210_800x.jpg?v=1482207952
